currente6k,time6k,current8k,time8k,current10k,time10k,current12k,time12k,current15k,time15k,current20k,time20k,current25k,time25k,current30k,time30k,current40k,time40k,current50k,time50k,current65k,time65k,current80k,time80k,current100k,time100k,current140k,time140k,current200k,time200k
125.956,298.524,155.233,302.733,203.758,302.43,273.125,303.642,328.958,300.922,424.508,303.642,521.616,301.826,667.761,303.339,810.727,303.036,105.145,307.308,137.599,297.928,172.491,297.928,209.63,297.63,309.31,599.954,479.787,598.157
126.208,253.117,155.544,261.086,203.961,248.601,273.399,270.657,329.617,270.927,42.621,261.086,522.138,257.199,669.098,283.681,81.235,268.232,105.25,267.963,138.012,249.847,173.182,261.086,210.26,278.342,309.619,518.974,480.267,542.861
126.208,222.705,155.544,218.295,203.961,211.844,274.494,226.977,330.607,223.151,428.346,212.906,523.183,210.787,670.438,252.106,816.422,230.177,105.461,214.616,138.289,213.759,173.876,225.845,211.102,254.895,309.929,449.822,480.267,487.774
126.334,189.208,15.57,176.064,203.961,174.487,275.595,188.83,331.601,181.426,430.493,167.813,524.755,166.976,671.109,214.831,823.803,174.138,105.99,175.011,138.289,171.032,174.573,190.157,212.373,219.39,310.86,407.016,481.71,435.656
126.334,156.311,15.57,140.309,204.165,143,276.699,150.784,332.264,149.582,432.218,135.077,525.805,132.535,673.798,178.368,830.419,134.942,106.627,141.578,138.704,139.889,175.799,156.467,214.722,184.906,313.357,359.19,485.58,381.401
126.334,120.765,155.856,114.646,20.437,116.845,278.364,119.563,333.596,119.683,435.255,107.969,527.385,104.883,675.823,145.307,837.927,104.151,107.269,114.76,139.26,114.188,176.504,132.535,216.23,157.095,316.823,319.211,491.933,346.489
126.334,961.442,155.856,931.163,204.574,946.182,27.948,100.168,334.933,997.682,438.312,855.285,529.499,876.936,677.853,121.492,843.813,813.572,108.239,914.552,140.238,933.027,177.211,111.592,218.84,126.957,322.255,284.249,501.369,312.577
126.334,76.161,156.012,773.893,204.779,784.804,280.881,799.858,33.594,816.833,439.629,694.668,532.153,696.755,68.057,103.839,85.4,62.982,109.436,751.021,141.082,762.372,178.456,955.691,221.04,103.839,328.108,253.117,512.009,279.458
12.646,593.142,15.648,627.305,204.984,639.978,282.007,640.618,337.623,675.487,442.717,552.489,533.752,55.86,681.251,905.452,862.583,487.569,110.647,625.426,142.215,631.712,179.351,813.572,223.708,840.027,336.078,223.822,523.922,252.106
126.587,466.115,157.422,498.914,205.189,52.24,282.854,526.596,339.316,556.926,445.381,455.972,53.482,446.944,685.351,770.804,873.869,394.821,111.982,513.594,143.645,502.418,181.153,660.788,227.544,647.056,346.313,197.522,536.648,228.115
127.222,376.317,158.686,425.146,205.189,454.607,283.704,432.435,341.699,459.175,449.408,371.456,538.577,382.004,688.098,669.435,885.304,314.012,113.561,425.571,145.379,404.007,182.974,528.706,232.141,492.962,357.574,167.813,549.134,208.273
127.859,307.179,159.961,357.964,20.56,38.086,284.841,35.868,343.756,385.844,453.471,297.208,541.277,327.481,690.856,538.848,894.201,273.809,115.393,343.241,146.693,335.436,184.998,43.941,235.649,39.839,366.626,147.798,567.558,186.765
128.886,254.533,161.892,298.399,206.837,322.929,286.269,298.996,347.558,326.827,458.487,239.231,54.617,272.171,693.625,447.838,902.285,240.912,116.786,288.712,148.91,272.443,187.231,36.12,238.732,341.529,377.792,127.977,587.187,167.31
130.312,214.097,164.011,257.348,207.458,282.713,287.416,257.091,349.999,285.554,464.486,201.025,551.108,232.626,696.405,382.004,913.178,203.045,118.788,23.995,150.708,228.933,189.491,302.303,242.825,286.126,388.131,110.813,604.465,150.182
131.358,189.697,166.323,217.986,208.498,245.533,288.568,219.298,353.871,239.231,471.506,166.906,556.647,200.223,701.998,316.851,926.052,174.588,120.825,201.427,153.292,185.014,192.74,244.064,247.483,235.669,399.552,954.736,625.37,131.479
132.414,167.407,169.174,185.569,211.015,208.394,289.725,19.295,358.501,202.437,47.911,140.953,562.804,174.588,709.054,263.336,940.988,14.952,123.142,168.078,155.608,15.75,195.067,209.648,251.475,204.676,410.076,814.386,646.351,114.302
133.878,147.588,171.903,160.682,212.923,180.265,291.177,174.763,363.919,16.909,486.838,121.562,572.453,146.999,715.464,225.976,959.998,126.018,125.756,13.983,158.911,129.986,198.61,178.471,255.531,177.049,418.36,714.393,667.369,990.723
