currente6k,time6k,current8k,time8k,current10k,time10k,current12k,time12k,current15k,time15k,current20k,time20k,current25k,time25k,current30k,time30k,current40k,time40k,current50k,time50k,current65k,time65k,current80k,time80k,current100k,time100k,current140k,time140k,current200k,time200k
10000,0.013298,10000,0.013298,10000,0.013298,10000,0.013298,10000,0.013298,10000,0.013298,10000,0.013404,10000,0.013499,10000,0.013826,10000,0.014134,10000,0.014564,10000,0.015357,10000,0.016145,10000,0.022144,10000,0.035149
2766.51,0.013485,2763.74,0.013485,2802.7,0.013472,3798.42,0.013593,3925.86,0.013621,5117.09,0.013539,6256.27,0.013607,8336.01,0.013621,8658.87,0.013938,8789.74,0.014205,9030.29,0.014711,9185.12,0.015543,9408.23,0.01652,9617.5,0.02291,9398.82,0.037848
2393.09,0.013512,2385.92,0.013512,2393.09,0.013566,3191.8,0.013634,3502.88,0.013771,4488.8,0.013716,5390.21,0.013785,7363.86,0.01373,7641.43,0.014064,7913.62,0.014348,8105.84,0.014933,8419.79,0.015904,8693.58,0.017109,8994.24,0.024351,8780.95,0.041289
2156.71,0.013539,2086.7,0.013566,2167.52,0.013689,2902.54,0.013662,3141.14,0.013938,4001.16,0.013896,4752.09,0.013965,6524.63,0.013896,6969.79,0.014205,7153.38,0.014579,7527.66,0.015144,7772.44,0.016356,8113.95,0.017718,8512.92,0.025728,8162.78,0.045449
1961.26,0.013566,1803.24,0.013662,1959.29,0.013813,2615.84,0.013771,2879.41,0.014064,3653.13,0.014078,4369.22,0.014148,5833.31,0.014106,6325.47,0.014376,6492.09,0.014785,6818.13,0.015496,7268.75,0.01682,7595.72,0.018404,8113.95,0.02702,7610.93,0.050028
1797.84,0.013593,1652.99,0.013744,1783.51,0.013951,2400.28,0.013882,2658.03,0.014248,3335.37,0.014276,4021.22,0.014362,5331.25,0.014319,5792.62,0.014608,6023,0.015008,6218.85,0.01592,6784.12,0.017385,7131.95,0.019155,7788.01,0.028207,7068.05,0.05579
1671.27,0.013607,1524.37,0.013854,1630.01,0.01412,2145.96,0.014092,2429.26,0.014477,3054.41,0.014492,3697.23,0.014608,4843.25,0.014579,5230.91,0.014918,5526.67,0.015327,5740.72,0.016405,6344.48,0.017986,6683.12,0.020097,7393.38,0.029743,6730.07,0.060135
1561.4,0.013634,1391.78,0.013993,1486.74,0.014348,1901.39,0.014348,2209.1,0.01474,2728.04,0.014844,3352.09,0.014933,4461.95,0.014859,4752.09,0.015204,5127.33,0.015699,5374.07,0.016871,5903.73,0.018776,6319.15,0.020918,6976.76,0.031645,6344.48,0.065996
1451.48,0.013689,1271.99,0.014162,1349.3,0.014623,1718.73,0.014637,1990.9,0.015083,2520.82,0.015129,3030.07,0.015311,4143.68,0.015083,4421.97,0.015465,4733.12,0.016177,5045.95,0.017367,5411.82,0.019977,5939.26,0.022012,6603.4,0.033804,6023,0.071923
1354.71,0.013744,1167.17,0.014348,1236.87,0.014888,1544.32,0.014948,1830.49,0.015403,2322.36,0.015434,2772.04,0.015667,3806.02,0.015373,4065.7,0.015841,4408.72,0.016736,4718.94,0.017968,5076.31,0.020918,5521.14,0.023443,6275.07,0.035931,5655.25,0.079885
1253.05,0.013826,1070.99,0.014608,1138.35,0.015189,1415.64,0.01525,1636.54,0.015825,2141.67,0.015778,2548.7,0.016096,3426.66,0.015809,3802.22,0.016193,4114.78,0.017385,4426.39,0.018682,4695.41,0.022322,5230.91,0.024571,5998.95,0.038038,5320.59,0.088818
1169.51,0.013882,964.242,0.014963,1037.26,0.015527,1309.42,0.015527,1495.68,0.016258,2010.9,0.01608,2334,0.016636,3128.6,0.016258,3591.55,0.016586,3848.12,0.018058,4135.4,0.019582,4377.97,0.02375,4955.93,0.025935,5740.72,0.04035,4950.98,0.101149
1060.33,0.014035,869.869,0.015311,949.887,0.015936,1212.38,0.015888,1372.43,0.016736,1858.16,0.016537,2156.71,0.017194,2862.18,0.016803,3395.95,0.017057,3613.17,0.018814,3875.15,0.020503,4005.17,0.025857,4667.32,0.027456,5444.39,0.043232,4584.06,0.116581
971.016,0.014191,781.6,0.015683,862.076,0.016454,1114.7,0.016356,1277.09,0.017177,1688.07,0.017194,2012.92,0.017736,2658.03,0.017333,3172.71,0.017665,3368.9,0.019818,3631.28,0.021576,3730.66,0.027677,4444.13,0.028806,5127.33,0.047068,4252.83,0.134638
883.016,0.014391,703.694,0.016177,797.389,0.016905,1024.89,0.016922,1175.37,0.017825,1578.67,0.017665,1869.34,0.018386,2451.22,0.017932,2955.25,0.018386,3179.06,0.02073,3338.71,0.023257,3399.35,0.030496,4240.09,0.030283,4882.15,0.05038,3949.48,0.155959
798.986,0.014637,645.06,0.016686,741.995,0.017437,966.173,0.017402,1106.92,0.018423,1488.22,0.018148,1734.27,0.01929,2262.76,0.01872,2741.72,0.019309,2984.96,0.021815,3094.37,0.024893,3116.11,0.033636,4033.3,0.031899,4634.76,0.05463,3656.79,0.182106
724.399,0.014903,591.312,0.017315,684.948,0.018076,896.361,0.018058,1044.55,0.019098,1391.78,0.018814,1594.54,0.020421,2088.79,0.01966,2574.32,0.020198,2777.59,0.023257,2853.61,0.026912,2847.91,0.03721,3828.93,0.033838,4382.35,0.059656,3447.28,0.207181
660.068,0.01525,548.585,0.01786,643.128,0.018739,828.273,0.018965,971.987,0.020077,1292.51,0.01964,1480.8,0.021598,1945.63,0.020668,2414.72,0.021234,2610.61,0.024547,2592.4,0.029654,2597.59,0.041955,3667.77,0.035573,4118.9,0.065667,3302.19,0.228741
608.711,0.015589,508.947,0.018589,599.049,0.019562,766.123,0.020037,907.182,0.021107,1223.34,0.02034,1393.17,0.022728,1805.04,0.022012,2271.83,0.022367,2451.22,0.026039,2381.15,0.032642,2400.28,0.046646,3468.02,0.037886,3886.8,0.072283,3141.14,0.256619
557.991,0.01608,474.539,0.019542,564.163,0.020421,713.615,0.02117,841.632,0.022547,1153.25,0.021107,1318.62,0.023821,1679.65,0.02349,2133.12,0.023679,2260.5,0.028179,2178.39,0.036183,2198.08,0.053069,3292.3,0.040552,3704.64,0.078225,2984.96,0.291953
